Account ID,Full Account ID,Full User ID,Owner AMA / AUM,Connect 2021 from Opty,Connect 2021,Connect 2020 from Opty,Connect 2020,Connect 2019,Account Currency,JUNO Account ID,Kaseya Market Segment,Auto Renewal Op Out,# of Closed Won Opportunities,Account Record Type,Type,Last Activity,Last Modified Date
0013a00001Zxec3,0013a00001Zxec3AAB,005j000000Ec0QcAAJ,AMA,0,0,0,0,1,USD,6800,MSP,1,9,End User,Customer,1/19/2022,2/1/2022
0013a00001ZxfEW,0013a00001ZxfEWAAZ,0054w00000AWX1XAAX,AMA,0,0,0,0,0,USD,6779,MSP,1,4,Reseller,Customer,2/10/2022,1/6/2022
0013a00001Zxfvl,0013a00001ZxfvlAAB,0053a00000Oc4rxAAB,AMA,0,0,0,0,1,USD,6703,MSP,0,21,End User,Partner,2/10/2022,2/10/2022
0013a00001Zxgww,0013a00001ZxgwwAAB,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,7083,MSP,0,16,End User,Customer,1/20/2022,2/10/2022
0013a00001ZxhPt,0013a00001ZxhPtAAJ,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,7088,MSP,0,2,End User,Customer,10/26/2021,2/10/2022
0013a00001ZxhZj,0013a00001ZxhZjAAJ,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,6783,MSP,0,1,End User,Customer,10/26/2021,2/10/2022
0013a00001ZxjFA,0013a00001ZxjFAAAZ,005j000000C2EikAAF,AMA,0,0,0,0,0,EUR,1963573727805573,MSP,0,18,End User,Customer,1/18/2022,2/9/2022
0013a00001ZxjOx,0013a00001ZxjOxAAJ,0053a00000Peif6AAB,AMA,0,0,0,0,0,USD,6792,MSP,0,4,End User,Customer,10/26/2021,2/10/2022
0013a00001Zxjzs,0013a00001ZxjzsAAB,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,3176,MSP,0,7,End User,Customer,3/7/2022,2/10/2022
0013a00001Zxkrh,0013a00001ZxkrhAAB,0053a00000PcqwkAAB,AMA,0,0,0,0,0,GBP,446229778366610,MSP,0,3,End User,Customer,2/7/2022,2/9/2022
0013a00001ZxlEO,0013a00001ZxlEOAAZ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5428,MSP,0,1,End User,Customer,2/9/2022,2/10/2022
0013a00001ZxlFC,0013a00001ZxlFCAAZ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5281,MSP,0,5,End User,Customer,2/10/2022,2/10/2022
0013a00001ZxlKb,0013a00001ZxlKbAAJ,005f100000HIKqoAAH,AMA,0,0,0,0,0,CAD,9768,MSP,1,3,End User,Customer,2/10/2022,2/10/2022
0013a00001ZxlTO,0013a00001ZxlTOAAZ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5190,MSP,0,1,End User,Customer,2/10/2022,2/10/2022
0013a00001ZxlgD,0013a00001ZxlgDAAR,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,10354,MSP,0,3,End User,Customer,2/10/2022,2/10/2022
0013a00001ZxliD,0013a00001ZxliDAAR,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,10893,MSP,0,5,End User,Customer,1/31/2022,2/10/2022
0013a00001ZxljV,0013a00001ZxljVAAR,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,4941,MSP,0,2,End User,Customer,2/22/2022,2/10/2022
0013a00001ZxmRL,0013a00001ZxmRLAAZ,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,2926,MSP,0,1,End User,Customer,1/26/2022,2/10/2022
0013a00001ZxmSJ,0013a00001ZxmSJAAZ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,1645,MSP,0,10,End User,Customer,12/29/2021,2/10/2022
0013a00001ZxmUe,0013a00001ZxmUeAAJ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,4732,MSP,0,2,End User,Customer,1/31/2022,2/10/2022
