Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,placeholder
0013a00001a0004AAA,7/2/2019,7/1/2022,7/2/2019,Renewable,1
0013a00001a0009AAA,10/1/2018,,10/1/2018,Evergreen,0
0013a00001a000OAAQ,1/31/2017,12/29/2023,1/30/2022,Renewable,1
0013a00001a000UAAQ,10/26/2017,11/19/2022,11/20/2019,Renewable,1
0013a00001a005xAAA,2/4/2016,2/22/2021,2/23/2021,Evergreen,0
0013a00001a007ZAAQ,8/5/2016,7/5/2024,7/6/2021,Renewable,1
0013a00001a008sAAA,12/23/2020,12/22/2023,12/23/2020,Renewable,1
0013a00001a009lAAA,7/24/2018,,7/24/2018,Evergreen,0
0013a00001a00CmAAI,9/15/2015,12/15/2023,2/25/2021,Renewable,1
0013a00001a00gnAAA,10/24/2019,10/23/2022,10/24/2019,Renewable,1
0013a00001a00GtAAI,11/22/2018,,11/22/2018,Evergreen,0
0013a00001a00HcAAI,2/28/2019,10/27/2023,10/28/2020,Evergreen,0
0013a00001a00HNAAY,6/27/2019,6/27/2022,6/27/2019,Renewable,1
0013a00001a00McAAI,2/12/2018,,2/12/2018,Evergreen,0
0013a00001a00SQAAY,10/26/2017,3/26/2023,5/27/2021,Evergreen,0
0013a00001a00Y6AAI,12/17/2015,12/22/2024,12/23/2019,Renewable,1
0013a00001a00ZxAAI,6/27/2019,4/26/2023,6/28/2020,Renewable,1
0013a00001a0107AAA,8/22/2018,1/21/2025,1/22/2022,Renewable,1
0013a00001a011tAAA,1/31/2017,9/13/2022,1/31/2017,Renewable,1
0013a00001a012XAAQ,8/27/2018,,12/28/2020,Evergreen,0
0013a00001a0149AAA,12/28/2017,,3/10/2021,Evergreen,0
0013a00001a014EAAQ,1/18/2019,1/18/2024,1/19/2021,Renewable,1
0013a00001a018LAAQ,11/10/2016,,11/10/2016,Evergreen,0
0013a00001a01a2AAA,9/11/2019,9/24/2022,9/25/2019,Renewable,1
0013a00001a01ARAAY,3/15/2018,6/23/2022,6/24/2021,Renewable,1
0013a00001a01b5AAA,9/29/2017,7/27/2022,9/29/2017,Renewable,1
0013a00001a01C3AAI,9/30/2019,9/29/2022,9/30/2019,Renewable,1
0013a00001a01CNAAY,5/22/2017,11/21/2022,2/22/2021,Evergreen,0
0013a00001a01fmAAA,4/17/2018,,3/1/2021,Evergreen,0
0013a00001a01XwAAI,6/28/2019,,6/28/2019,Evergreen,0
0013a00001a01XXAAY,8/24/2016,,8/24/2016,Evergreen,0
0013a00001a01ZEAAY,9/5/2019,,9/5/2019,Evergreen,0
0013a00001a01ZYAAY,1/29/2016,,1/29/2016,Evergreen,0
0013a00001a0394AAA,9/27/2017,,9/27/2017,Evergreen,0
0013a00001a03a5AAA,6/30/2019,7/1/2022,6/30/2019,Renewable,1
0013a00001a03bwAAA,1/31/2018,2/27/2023,2/28/2022,Renewable,1
0013a00001a03fyAAA,1/16/2018,9/26/2022,7/15/2022,Renewable,1
0013a00001a03grAAA,3/11/2015,,3/11/2015,Evergreen,0
0013a00001a03h6AAA,3/29/2019,3/27/2024,5/7/2021,Renewable,1
0013a00001a03mSAAQ,8/31/2018,,8/31/2018,Evergreen,0
0013a00001a03QKAAY,6/28/2019,6/26/2022,6/28/2019,Renewable,1
0013a00001a03WhAAI,5/2/2016,7/2/2023,7/3/2020,Renewable,1
0013a00001a03XLAAY,10/17/2017,6/16/2022,3/5/2021,Renewable,1
0013a00001a03YJAAY,5/23/2018,2/28/2025,3/1/2022,Renewable,1
0013a00001a03zlAAA,5/31/2017,,5/31/2017,Evergreen,0
0013a00001a041cAAA,6/5/2017,,1/22/2021,Evergreen,0
0013a00001a04OqAAI,6/28/2019,6/27/2022,6/28/2019,Renewable,1
0013a00001a04TMAAY,10/30/2015,10/27/2023,10/28/2020,Evergreen,0
0013a00001a04xlAAA,6/2/2015,,6/2/2015,Evergreen,0
0013a00001a0514AAA,11/15/2017,11/14/2023,11/15/2020,Evergreen,0
0013a00001a05c6AAA,1/23/2017,,1/23/2017,Evergreen,0
0013a00001a060xAAA,8/30/2017,8/29/2022,8/30/2017,Renewable,1
0013a00001a061vAAA,3/25/2016,,3/25/2016,Evergreen,0
0013a00001a0625AAA,9/25/2018,5/27/2023,5/28/2020,Renewable,1
0013a00001a066xAAA,6/28/2019,,6/28/2019,Evergreen,0
0013a00001a06pWAAQ,8/15/2016,,8/15/2016,Evergreen,0
0013a00001a06zbAAA,6/9/2016,,6/9/2016,Evergreen,0
0013a00001a07IfAAI,11/23/2018,,11/23/2018,Evergreen,0
0013a00001a07L7AAI,5/11/2017,11/10/2023,9/8/2021,Evergreen,0
0013a00001a07moAAA,8/9/2016,,8/9/2016,Evergreen,0
0013a00001a07n3AAA,7/17/2017,,2/1/2021,Evergreen,0
0013a00001a07okAAA,4/6/2018,,4/6/2018,Evergreen,0
0013a00001a07pdAAA,6/17/2016,6/16/2024,7/29/2021,Evergreen,0
0013a00001a07RAAAY,11/21/2018,3/1/2021,3/2/2021,Evergreen,0
0013a00001a07RtAAI,5/11/2016,9/11/2022,3/5/2021,Renewable,1
0013a00001a07RzAAI,10/10/2016,,3/11/2021,Evergreen,0
0013a00001a07s0AAA,5/31/2018,,5/31/2018,Evergreen,0
0013a00001a07SXAAY,3/27/2018,10/4/2023,1/13/2021,Renewable,1
0013a00001a07T6AAI,11/29/2017,11/29/2019,2/1/2021,Evergreen,0
0013a00001a07tmAAA,7/11/2018,5/9/2024,5/10/2021,Renewable,1
0013a00001a07wvAAA,11/29/2018,,11/29/2018,Evergreen,0
0013a00001a0867AAA,11/13/2017,,1/11/2021,Evergreen,0
