,Account ID,Full Account ID,Full User ID,Owner AMA / AUM,Connect 2021 from Opty,Connect 2021,Connect 2020 from Opty,Connect 2020,Connect 2019,Account Currency,JUNO Account ID,Kaseya Market Segment,Auto Renewal Op Out,# of Closed Won Opportunities,Account Record Type,Type,Last Activity,Last Modified Date,"Owner Type (1 IS AMA, 0 IS NOT) ",Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,1 -> Renewable 0 -> Evergreen,Duration
0,0013a00001Zxec3,0013a00001Zxec3AAB,005j000000Ec0QcAAJ,AMA,0,0,0,0,1,USD,6800.0,MSP,1,9,End User,Customer,1/19/2022,2/1/2022,1,0013a00001Zxec3AAB,4/1/2019,9/30/2021,10/1/2021,Renewable,1,913
1,0013a00001ZxfEW,0013a00001ZxfEWAAZ,0054w00000AWX1XAAX,AMA,0,0,0,0,0,USD,6779.0,MSP,1,4,Reseller,Customer,2/10/2022,1/6/2022,1,0013a00001ZxfEWAAZ,3/29/2019,3/29/2022,3/29/2019,Renewable,1,1096
2,0013a00001Zxfvl,0013a00001ZxfvlAAB,0053a00000Oc4rxAAB,AMA,0,0,0,0,1,USD,6703.0,MSP,0,21,End User,Partner,2/10/2022,2/10/2022,1,0013a00001ZxfvlAAB,3/20/2019,7/19/2022,5/19/2021,Renewable,1,1217
3,0013a00001Zxgww,0013a00001ZxgwwAAB,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,7083.0,MSP,0,16,End User,Customer,1/20/2022,2/10/2022,1,0013a00001ZxgwwAAB,5/16/2019,3/20/2022,3/21/2021,Renewable,1,1039
4,0013a00001ZxhPt,0013a00001ZxhPtAAJ,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,7088.0,MSP,0,2,End User,Customer,10/26/2021,2/10/2022,1,0013a00001ZxhPtAAJ,5/16/2019,3/20/2020,5/16/2019,Renewable,1,309
5,0013a00001ZxhZj,0013a00001ZxhZjAAJ,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,6783.0,MSP,0,1,End User,Customer,10/26/2021,2/10/2022,1,0013a00001ZxhZjAAJ,3/21/2019,3/20/2020,3/21/2019,Renewable,1,365
6,0013a00001ZxjFA,0013a00001ZxjFAAAZ,005j000000C2EikAAF,AMA,0,0,0,0,0,EUR,1963570000000000.0,MSP,0,18,End User,Customer,1/18/2022,2/9/2022,1,0013a00001ZxjFAAAZ,12/31/2020,12/30/2023,12/31/2020,Renewable,1,1094
7,0013a00001ZxjOx,0013a00001ZxjOxAAJ,0053a00000Peif6AAB,AMA,0,0,0,0,0,USD,6792.0,MSP,0,4,End User,Customer,10/26/2021,2/10/2022,1,0013a00001ZxjOxAAJ,3/22/2019,9/15/2022,9/16/2021,Renewable,1,1273
8,0013a00001Zxjzs,0013a00001ZxjzsAAB,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,3176.0,MSP,0,7,End User,Customer,3/7/2022,2/10/2022,1,0013a00001ZxjzsAAB,3/28/2017,11/26/2022,11/27/2019,Renewable,1,2069
9,0013a00001Zxkrh,0013a00001ZxkrhAAB,0053a00000PcqwkAAB,AMA,0,0,0,0,0,GBP,446230000000000.0,MSP,0,3,End User,Customer,2/7/2022,2/9/2022,1,0013a00001ZxkrhAAB,7/9/2019,7/8/2022,1/11/2021,Renewable,1,1095
10,0013a00001ZxlEO,0013a00001ZxlEOAAZ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5428.0,MSP,0,1,End User,Customer,2/9/2022,2/10/2022,1,0013a00001ZxlEOAAZ,8/7/2018,,8/7/2018,Evergreen,0,1283
11,0013a00001ZxlFC,0013a00001ZxlFCAAZ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5281.0,MSP,0,5,End User,Customer,2/10/2022,2/10/2022,1,0013a00001ZxlFCAAZ,7/6/2018,10/5/2023,1/17/2022,Renewable,1,1917
12,0013a00001ZxlKb,0013a00001ZxlKbAAJ,005f100000HIKqoAAH,AMA,0,0,0,0,0,CAD,9768.0,MSP,1,3,End User,Customer,2/10/2022,2/10/2022,1,0013a00001ZxlKbAAJ,11/11/2020,4/30/2024,5/1/2021,Renewable,1,1266
13,0013a00001ZxlTO,0013a00001ZxlTOAAZ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5190.0,MSP,0,1,End User,Customer,2/10/2022,2/10/2022,1,0013a00001ZxlTOAAZ,6/13/2018,9/13/2022,6/13/2018,Renewable,1,1553
14,0013a00001ZxlgD,0013a00001ZxlgDAAR,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,10354.0,MSP,0,3,End User,Customer,2/10/2022,2/10/2022,1,0013a00001ZxlgDAAR,2/15/2021,2/14/2024,2/15/2021,Renewable,1,1094
15,0013a00001ZxliD,0013a00001ZxliDAAR,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,10893.0,MSP,0,5,End User,Customer,1/31/2022,2/10/2022,1,0013a00001ZxliDAAR,5/15/2021,5/14/2024,5/15/2021,Renewable,1,1095
16,0013a00001ZxljV,0013a00001ZxljVAAR,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,4941.0,MSP,0,2,End User,Customer,2/22/2022,2/10/2022,1,0013a00001ZxljVAAR,4/10/2018,,4/10/2018,Evergreen,0,1402
17,0013a00001ZxmRL,0013a00001ZxmRLAAZ,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,2926.0,MSP,0,1,End User,Customer,1/26/2022,2/10/2022,1,0013a00001ZxmRLAAZ,1/31/2017,,3/12/2021,Evergreen,0,1836
18,0013a00001ZxmSJ,0013a00001ZxmSJAAZ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,1645.0,MSP,0,10,End User,Customer,12/29/2021,2/10/2022,1,0013a00001ZxmSJAAZ,7/1/2016,,7/1/2016,Evergreen,0,2050
19,0013a00001ZxmUe,0013a00001ZxmUeAAJ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,4732.0,MSP,0,2,End User,Customer,1/31/2022,2/10/2022,1,0013a00001ZxmUeAAJ,2/19/2018,,2/19/2018,Evergreen,0,1452
